政府統計コード	政府統計名	作成機関	担当部局課室名	統計の種類	提供周期	データ一覧	統計表ファイル	データベース	作成機関情報
00350300	普通貿易統計	財務省	関税局関税課	業務統計	月	?登録あり	〇	〇	?作成機関情報
00350310	特殊貿易統計	財務省	関税局関税課	業務統計	月	?登録あり	〇	〇	?作成機関情報
00350320	船舶・航空機統計	財務省	関税局関税課	業務統計	月	?登録あり	〇	〇	?作成機関情報
00350400	国有財産統計	財務省	理財局管理課国有財産情報室  外	業務統計	年	?登録あり	〇	〇	?作成機関情報
00350410	たばこ小売販売業経営実態調査	財務省	理財局総務課たばこ塩事業室	一般統計	５年	?登録あり	〇	〇	?作成機関情報
00350430	たばこ小売販売業調査	財務省	理財局総務課たばこ塩事業室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00350600	法人企業統計調査	財務省	財務総合政策研究所調査統計部調査統計課・電子計算システム課	基幹統計	四半期、半年	?登録あり	〇	〇	?作成機関情報
00350610	法人企業景気予測調査	財務省	財務総合政策研究所調査統計部調査統計課・電子計算システム課	一般統計	四半期	?登録あり	〇	〇	?作成機関情報
00350620	景気予測調査	財務省	財務総合政策研究所調査統計部調査統計課・電子計算システム課	その他	四半期	?登録あり	-	〇	?作成機関情報
00350630	産業連関構造調査（酒類製造業投入調査）	財務省	財務総合政策研究所調査統計部調査統計課・電子計算システム課	一般統計	５年	?登録あり	〇	-	?作成機関情報
00350650	法人企業統計調査  附帯調査（四半期別GDP速報（1次速報）のための一部項目早期調査）	財務省	財務総合政策研究所調査統計部調査統計課・電子計算システム課	一般統計	四半期	-	-	-	-
00351000	民間給与実態統計調査	国税庁	長官官房企画課	基幹統計	年	?登録あり	〇	〇	?作成機関情報
00351010	税務統計	国税庁	長官官房企画課	業務統計	年	?登録あり	〇	-	?作成機関情報
00351020	会社標本調査	国税庁	長官官房企画課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00351030	申告所得税標本調査	国税庁	長官官房企画課	業務統計	年	?登録あり	〇	-	?作成機関情報
00400001	学校基本調査	文部科学省	総合教育政策局調査企画課	基幹統計	年	?登録あり	〇	〇	?作成機関情報
00400002	学校保健統計調査	文部科学省	総合教育政策局調査企画課	基幹統計	年	?登録あり	〇	〇	?作成機関情報
00400003	学校教員統計調査	文部科学省	総合教育政策局調査企画課	基幹統計	３年	?登録あり	〇	〇	?作成機関情報
00400004	社会教育調査	文部科学省	総合教育政策局調査企画課	基幹統計	３年	?登録あり	〇	〇	?作成機関情報
00400101	公立学校施設実態調査	文部科学省	大臣官房文教施設企画・防災部施設助成課	業務統計	年	?登録あり	〇	〇	?作成機関情報
